name,clade,class
DIRS-1E-LTR_DR,DIRS,LTR Retrotransposon
DIRS-1F-LTR_DR,DIRS,LTR Retrotransposon
DIRS-1G-LTR_DR,DIRS,LTR Retrotransposon
DIRS-1_DR,DIRS,LTR Retrotransposon
DIRS-2B_DR,DIRS,LTR Retrotransposon
DIRS-2_DR,DIRS,LTR Retrotransposon
DIRS-3_DR,DIRS,LTR Retrotransposon
DIRS-4N1-LTR_DR,DIRS,LTR Retrotransposon
DIRS-4N1_DR,DIRS,LTR Retrotransposon
DIRS-4N2-LTR_DR,DIRS,LTR Retrotransposon
DIRS-4N2_DR,DIRS,LTR Retrotransposon
DIRS-4N3_DR,DIRS,LTR Retrotransposon
DIRS-4N4-LTR_DR,DIRS,LTR Retrotransposon
DIRS-4N5-LTR_DR,DIRS,LTR Retrotransposon
DIRS-4_DR,DIRS,LTR Retrotransposon
DIRS-5_DR,DIRS,LTR Retrotransposon
DIRS-6B_DR,DIRS,LTR Retrotransposon
DIRS-6_DR,DIRS,LTR Retrotransposon
DIRS-7_DR,DIRS,LTR Retrotransposon
DIRS-8B_DR,DIRS,LTR Retrotransposon
DIRS-8_DR,DIRS,LTR Retrotransposon
DIRS-9B_DR,DIRS,LTR Retrotransposon
DIRS-9C_DR,DIRS,LTR Retrotransposon
DIRS-9_DR,DIRS,LTR Retrotransposon
DIRS-N1_DR,DIRS,LTR Retrotransposon
DIRS-N2_DR,DIRS,LTR Retrotransposon
DIRS-N3_DR,DIRS,LTR Retrotransposon
DIRS-N4_DR,DIRS,LTR Retrotransposon
DIRS-N5_DR-LTR,DIRS,LTR Retrotransposon
DIRS-N6_DR,DIRS,LTR Retrotransposon
DIRS1a_DR,DIRS,LTR Retrotransposon
DIRS1b_DR,DIRS,LTR Retrotransposon
DIRS1c_DR,DIRS,LTR Retrotransposon
DIRS1_DR,DIRS,LTR Retrotransposon
DNA-2-14_DR,EnSpm/CACTA,DNA transposon
DNA-2-17_DR,EnSpm/CACTA,DNA transposon
DNA-2-22_DR,EnSpm/CACTA,DNA transposon
DNA-2-23_DR,EnSpm/CACTA,DNA transposon
DNA-2-25_DR,EnSpm/CACTA,DNA transposon
DNA-2-26_DR,EnSpm/CACTA,DNA transposon
DNA-2-30B_DR,EnSpm/CACTA,DNA transposon
DNA-2-30_DR,EnSpm/CACTA,DNA transposon
DNA-2-8_DR,EnSpm/CACTA,DNA transposon
DNA-3-2B_DR,Harbinger,DNA transposon
DNA-3-2_DR,Harbinger,DNA transposon
DNA-4-1_DR,Sola,DNA transposon
DNA-5-1B_DR,hAT,DNA transposon
DNA-5-1_DR,hAT,DNA transposon
DNA-5-5_DR,hAT,DNA transposon
DNA-5-6_DR,hAT,DNA transposon
DNA-5-8B_DR,hAT,DNA transposon
DNA-5-8C_DR,hAT,DNA transposon
DNA-5-8D_DR,hAT,DNA transposon
DNA-5-8E_DR,hAT,DNA transposon
DNA-5-8F_DR,hAT,DNA transposon
DNA-5-8_DR,hAT,DNA transposon
DNA-6-N1_DR,IS3EU,DNA transposon
DNA-6-N3_DR,IS3EU,DNA transposon
DNA-6-N4_DR,IS3EU,DNA transposon
DNA-8-11B_DR,hAT,DNA transposon
DNA-8-11_DR,hAT,DNA transposon
DNA-8-17_DR,Zisupton,DNA transposon
DNA-8-1_DR,hAT,DNA transposon
DNA-8-23_DR,hAT,DNA transposon
DNA-8-26_DR,hAT,DNA transposon
DNA-8-29_DR,hAT,DNA transposon
DNA-8-4_DR,hAT,DNA transposon
DNA-8-8_DR,hAT,DNA transposon
DNA-8-9_DR,hAT,DNA transposon
DNA-TA-1_DR,EnSpm/CACTA,DNA transposon
DNA-TA-2_DR,EnSpm/CACTA,DNA transposon
DNA-TA-5_DR,Mariner/Tc1,DNA transposon
DNA2-16_DR,EnSpm/CACTA,DNA transposon
DNA2-1_DR,EnSpm/CACTA,DNA transposon
DNA2-2B_DR,hAT,DNA transposon
DNA2-2_DR,hAT,DNA transposon
DNA2-3_DR,hAT,DNA transposon
DNA4-1B_DR,Sola,DNA transposon
DNA6-1B_DR,hAT,DNA transposon
DNA6-1_DR,hAT,DNA transposon
DNA6-9B_DR,hAT,DNA transposon
DNA6-9_DR,hAT,DNA transposon
DNA7-N2_DR,hAT,DNA transposon
DNA8-10_DR,hAT,DNA transposon
