name,class,clade
ATREP15,Helitron,DNA transposon
ATREP16,other,other
ATREP17,other,other
ATREP2,Helitron,DNA transposon
ATREP20,Helitron,DNA transposon
ATREP21,Helitron,DNA transposon
ATREP2A,Helitron,DNA transposon
ATREP3,Helitron,DNA transposon
ATREP3b,Helitron,DNA transposon
ATREP4,Helitron,DNA transposon
ATREP5,Helitron,DNA transposon
ATREP6,Helitron,DNA transposon
ATREP7,Helitron,DNA transposon
ATREP8,Helitron,DNA transposon
ATREP9,Helitron,DNA transposon
ATREPX1,Helitron,DNA transposon
AtSB2,SINE,Non-LTR Retrotransposon
AtSB3,SINE,Non-LTR Retrotransposon
AtSB4,SINE,Non-LTR Retrotransposon
AtSB5,SINE,Non-LTR Retrotransposon
AtSB6,SINE,Non-LTR Retrotransposon
ATSINE2A,other,other
ATTIR16T3A,Harbinger,DNA transposon
ATTIRTA1,Mariner/Tc1,DNA transposon
ATTIRX1A,Harbinger,DNA transposon
ATTIRX1B,Harbinger,DNA transposon
ATTIRX1C,Harbinger,DNA transposon
ATTIRX1D,Harbinger,DNA transposon
BOMZH1,MuDR,DNA transposon
BOMZH2,MuDR,DNA transposon
BRODYAGA1,MuDR,DNA transposon
BRODYAGA1A,MuDR,DNA transposon
BRODYAGA2,other,other
Cassandra-1_AT-I,other,other
Cassandra-1_AT-LTR,other,other
Cassandra_AT-I,other,other
Cassandra_AT-LTR,other,other
CASTOR_I,Copia,LTR Retrotransposon
CASTOR_LTR,Copia,LTR Retrotransposon
Chester-1,EnSpm/CACTA,DNA transposon
Copia-10_AT-I,Copia,LTR Retrotransposon
Copia-10_AT-LTR,Copia,LTR Retrotransposon
Copia-11_AT-I,Copia,LTR Retrotransposon
Copia-11_AT-LTR,Copia,LTR Retrotransposon
Copia-12_AT-I,Copia,LTR Retrotransposon
Copia-12_AT-LTR,Copia,LTR Retrotransposon
Copia-13_AT-I,Copia,LTR Retrotransposon
Copia-14_AT-I,Copia,LTR Retrotransposon
Copia-14_AT-LTR,Copia,LTR Retrotransposon
Copia-15B_AT-I,Copia,LTR Retrotransposon
Copia-15B_AT-LTR,Copia,LTR Retrotransposon
Copia-15_AT-I,Copia,LTR Retrotransposon
Copia-15_AT-LTR,Copia,LTR Retrotransposon
Copia-16_AT-I,Copia,LTR Retrotransposon
Copia-16_AT-LTR,Copia,LTR Retrotransposon
Copia-17_AT-I,Copia,LTR Retrotransposon
Copia-17_AT-LTR,Copia,LTR Retrotransposon
Copia-18_AT-I,Copia,LTR Retrotransposon
Copia-18_AT-LTR,Copia,LTR Retrotransposon
Copia-19B_AT-I,Copia,LTR Retrotransposon
Copia-19B_AT-LTR,Copia,LTR Retrotransposon
Copia-19_AT-I,Copia,LTR Retrotransposon
Copia-19_AT-LTR,Copia,LTR Retrotransposon
Copia-1_AT-I,Copia,LTR Retrotransposon
Copia-1_AT-LTR,Copia,LTR Retrotransposon
Copia-20_AT-I,Copia,LTR Retrotransposon
Copia-20_AT-LTR,Copia,LTR Retrotransposon
Copia-21_AT-I,Copia,LTR Retrotransposon
Copia-21_AT-LTR,Copia,LTR Retrotransposon
Copia-22_AT-I,Copia,LTR Retrotransposon
Copia-22_AT-LTR,Copia,LTR Retrotransposon
Copia-23_AT-I,Copia,LTR Retrotransposon
Copia-23_AT-LTR,Copia,LTR Retrotransposon
Copia-24_AT-I,Copia,LTR Retrotransposon
Copia-24_AT-LTR,Copia,LTR Retrotransposon
Copia-25_AT-I,Copia,LTR Retrotransposon
Copia-25_AT-LTR,Copia,LTR Retrotransposon
Copia-26_AT-I,Copia,LTR Retrotransposon
Copia-26_AT-LTR,Copia,LTR Retrotransposon
Copia-27_AT-I,Copia,LTR Retrotransposon
Copia-27_AT-LTR,Copia,LTR Retrotransposon
Copia-28_AT-I,Copia,LTR Retrotransposon
Copia-28_AT-LTR,Copia,LTR Retrotransposon
Copia-29_AT-I,Copia,LTR Retrotransposon
Copia-29_AT-LTR,Copia,LTR Retrotransposon
Copia-2_AT-I,Copia,LTR Retrotransposon
Copia-2_AT-LTR,Copia,LTR Retrotransposon
Copia-30_AT-I,Copia,LTR Retrotransposon
Copia-30_AT-LTR,Copia,LTR Retrotransposon
Copia-31_AT-I,Copia,LTR Retrotransposon
Copia-31_AT-LTR,Copia,LTR Retrotransposon
Copia-32_AT-I,Copia,LTR Retrotransposon
Copia-32_AT-LTR,Copia,LTR Retrotransposon
Copia-33_AT-I,Copia,LTR Retrotransposon
Copia-33_AT-LTR,Copia,LTR Retrotransposon
Copia-34_AT-I,Copia,LTR Retrotransposon
Copia-35_AT-I,Copia,LTR Retrotransposon
Copia-35_AT-LTR,Copia,LTR Retrotransposon
Copia-36_AT-I,Copia,LTR Retrotransposon
Copia-36_AT-LTR,Copia,LTR Retrotransposon
Copia-37_AT-I,Copia,LTR Retrotransposon
Copia-37_AT-LTR,Copia,LTR Retrotransposon
Copia-38_AT-I,Copia,LTR Retrotransposon
Copia-38_AT-LTR,Copia,LTR Retrotransposon
Copia-39_AT-I,Copia,LTR Retrotransposon
Copia-39_AT-LTR,Copia,LTR Retrotransposon
Copia-3_AT-I,Copia,LTR Retrotransposon
Copia-3_AT-LTR,Copia,LTR Retrotransposon
Copia-40B_AT-I,Copia,LTR Retrotransposon
Copia-40B_AT-LTR,Copia,LTR Retrotransposon
Copia-40_AT-I,Copia,LTR Retrotransposon
Copia-40_AT-LTR,Copia,LTR Retrotransposon
Copia-41_AT-I,Copia,LTR Retrotransposon
Copia-41_AT-LTR,Copia,LTR Retrotransposon
Copia-42_AT-I,Copia,LTR Retrotransposon
Copia-42_AT-LTR,Copia,LTR Retrotransposon
Copia-43_AT-I,Copia,LTR Retrotransposon
Copia-43_AT-LTR,Copia,LTR Retrotransposon
Copia-44_AT-LTR,Copia,LTR Retrotransposon
Copia-45_AT-I,Copia,LTR Retrotransposon
Copia-45_AT-LTR,Copia,LTR Retrotransposon
Copia-46_AT-I,Copia,LTR Retrotransposon
Copia-46_AT-LTR,Copia,LTR Retrotransposon
Copia-47_AT-I,Copia,LTR Retrotransposon
Copia-47_AT-LTR,Copia,LTR Retrotransposon
Copia-48_AT-I,Copia,LTR Retrotransposon
Copia-48_AT-LTR,Copia,LTR Retrotransposon
Copia-49_AT-I,Copia,LTR Retrotransposon
Copia-49_AT-LTR,Copia,LTR Retrotransposon
Copia-4_AT-I,Copia,LTR Retrotransposon
Copia-4_AT-LTR,Copia,LTR Retrotransposon
Copia-50_AT-I,Copia,LTR Retrotransposon
Copia-50_AT-LTR,Copia,LTR Retrotransposon
Copia-51_AT-I,Copia,LTR Retrotransposon
Copia-51_AT-LTR,Copia,LTR Retrotransposon
Copia-52_AT-I,Copia,LTR Retrotransposon
Copia-52_AT-LTR,Copia,LTR Retrotransposon
Copia-5_AT-I,Copia,LTR Retrotransposon
